,Age,Gender,Ethnicity,ParentalEducation,StudyTimeWeekly,Absences,Tutoring,ParentalSupport,Extracurricular,Sports,Music,Volunteering,GradeClass
0,17,1,0,2,19.833722807854716,7,1,2,0,0,1,0,C
1,18,0,0,1,15.40875605584674,0,0,1,0,0,0,0,B
2,15,0,2,3,4.21056976881226,26,0,2,0,0,0,0,E
3,17,1,0,3,10.028829473958217,14,0,3,1,0,0,0,D
4,17,1,0,2,4.6724952729713305,17,1,3,0,0,0,0,E
5,18,0,0,1,8.191218545250186,0,0,1,1,0,0,0,B
6,15,0,1,1,15.601680474699297,10,0,3,0,1,0,0,C
7,15,1,1,4,15.424496305808074,22,1,1,1,0,0,0,E
8,17,0,0,0,4.562007558047703,1,0,2,0,1,0,1,C
9,16,1,0,1,18.4444663630972,0,0,3,1,0,0,0,A
10,17,0,0,1,11.851363655296536,11,0,1,0,0,0,0,D
11,17,0,0,1,7.59848581924029,15,0,2,0,0,0,1,E
12,17,0,1,1,10.038711615617212,21,0,3,1,0,0,0,E
13,17,0,1,2,12.101425068754876,21,0,4,0,1,0,0,E
14,18,1,0,1,11.197810636915708,9,1,2,0,0,0,0,D
15,15,0,0,2,9.728100710723565,17,1,0,0,1,0,0,E
16,18,0,3,1,10.098656081788002,14,0,2,1,1,0,0,D
17,18,1,0,0,3.5282382085577235,16,1,2,0,0,0,0,E
18,18,0,1,3,16.25465808609359,29,0,2,1,0,0,1,E
19,17,0,0,1,10.835206398820308,9,0,2,0,0,1,0,D
20,16,1,0,3,2.621597234094062,2,0,3,0,0,0,1,C
21,15,0,0,2,15.32314203165556,25,0,1,1,0,0,0,E
22,16,1,1,0,18.648879567547016,29,1,1,0,0,0,0,E
23,18,1,3,4,18.94613798473924,20,0,2,1,0,0,0,E
24,18,1,0,1,7.380354648223455,15,0,2,0,0,0,0,E
25,16,1,0,3,2.7103374712150807,5,0,4,0,0,1,0,C
26,16,0,0,1,10.367992532661304,2,0,2,0,1,0,0,C
27,16,1,0,3,2.2521845869844137,8,0,3,0,0,1,0,D
28,18,0,0,0,18.679748370252344,10,0,3,1,0,0,0,C
29,18,0,0,2,3.67159254710292,20,0,3,1,0,0,0,E
30,15,0,2,2,5.055317199023282,12,1,0,0,1,0,0,E
31,15,0,0,3,8.132730537699409,17,0,4,0,0,0,1,E
32,18,0,0,3,7.663289371182516,25,0,1,0,1,0,0,E
33,16,0,3,3,15.89325784795778,21,0,0,1,1,0,0,E
34,16,0,0,3,9.126336411019247,27,1,2,1,1,0,0,E
35,15,0,3,1,3.415365200066738,23,0,1,0,0,0,0,E
36,18,0,0,1,5.344197909721482,26,1,1,0,0,0,0,E
37,15,0,2,1,10.18226770375044,21,1,1,0,1,0,0,E
38,15,1,1,1,2.949078348522698,3,1,1,1,1,0,0,B
39,17,1,2,1,12.233113512920282,21,1,3,1,1,0,0,E
40,17,1,3,2,11.314946131022918,23,1,1,0,0,0,0,E
41,17,0,0,1,14.294046327645152,7,0,2,0,0,0,0,C
42,16,1,3,2,18.754092307587356,12,1,4,0,0,0,0,C
43,18,1,0,1,18.245091222023117,9,0,2,0,1,0,0,C
44,18,1,0,1,18.921512361376628,1,1,3,1,1,0,0,A
45,18,0,0,2,4.894311940474019,7,0,4,0,0,1,0,C
46,18,0,1,2,2.6313061327870924,5,0,1,1,0,0,0,C
47,17,0,0,2,6.04553400992897,15,0,2,0,0,0,0,E
48,16,0,1,2,17.90170345532629,17,0,3,0,0,1,0,D
49,16,1,1,1,19.441069492469765,16,0,4,1,0,0,0,D
50,17,1,2,2,17.18649902140952,5,0,3,0,0,0,0,C
51,16,1,2,0,2.200354422550872,12,1,1,1,0,1,0,E
52,17,1,0,1,18.948559961195865,22,0,4,0,0,1,0,E
53,18,0,0,2,8.46716054701572,13,0,1,0,1,0,0,E
54,17,0,0,0,0.1862058152470735,29,1,2,1,1,0,0,E
55,18,0,0,1,8.847874814963872,25,0,2,0,1,0,0,E
56,18,1,0,4,0.9213833935093518,20,0,2,0,1,1,0,E
57,15,0,0,4,10.87755842322235,29,0,3,1,0,0,0,E
58,17,0,0,1,6.771080548741026,9,1,3,0,1,0,0,C
59,15,1,3,0,9.468698671880976,23,0,3,0,1,0,0,E
60,17,1,1,1,12.26340721486234,10,0,0,1,0,1,0,E
61,17,0,0,1,17.376021916356407,12,0,2,0,0,1,0,D
62,15,0,1,3,13.238031529438572,11,0,3,0,1,0,0,D
63,15,0,0,1,8.680977369563614,8,0,2,0,1,0,0,D
64,17,0,0,2,16.388557073407302,3,1,4,0,0,0,0,B
65,16,0,1,1,18.111642751462643,6,1,3,1,0,0,0,B
66,18,0,0,4,2.3951993286439444,23,0,3,0,1,0,0,E
67,15,1,0,1,10.638659551055827,28,0,0,0,1,0,0,E
68,18,1,3,2,5.690239194848883,21,1,3,0,0,1,0,E
69,16,1,2,1,0.941223957538948,1,0,4,0,0,1,0,B
70,16,0,1,2,13.370933902279706,6,0,2,1,0,0,0,C
71,16,1,1,1,17.255415549184512,28,0,3,0,0,1,1,E
72,15,0,1,1,3.258053089547881,8,0,2,1,1,0,0,C
73,16,0,0,3,16.24827315247801,4,1,2,0,0,0,0,B
74,15,1,0,3,17.067914670738833,14,0,3,1,0,1,0,D
75,16,0,0,3,18.28680885332967,17,0,3,0,1,0,0,E
76,18,0,0,2,5.305701781721048,3,0,3,0,0,0,0,C
77,18,1,1,3,18.079061303797783,18,1,1,1,1,0,0,D
78,17,1,0,0,6.413255094728645,19,0,1,0,0,0,0,E
79,18,1,3,1,11.046760269110056,25,0,3,0,1,0,0,E
80,17,0,3,1,1.0101494166456426,6,0,1,0,1,0,0,D
81,18,1,2,2,0.8776217673748721,25,0,2,0,0,0,0,E
82,15,1,1,1,14.407464254644058,7,0,0,1,1,0,0,C
83,18,0,2,1,8.88959955955582,16,0,1,0,1,0,0,E
84,17,1,0,2,5.125847507384352,12,0,3,1,1,0,0,D
85,17,1,2,3,3.808269920498204,23,0,3,0,0,0,0,E
86,16,1,0,1,13.399069817184362,20,1,1,1,0,1,1,E
87,15,0,2,1,0.0080308805067974,27,0,1,0,0,1,0,E
88,18,0,0,1,16.117823383937086,22,0,0,1,0,1,0,E
89,16,0,2,1,1.5849921225985764,10,0,2,0,0,1,1,D
90,18,0,3,1,3.829792298162389,26,0,1,0,0,0,1,E
91,18,1,0,2,7.724727905981792,0,0,2,1,1,0,0,A
92,16,0,0,2,9.697174794322072,1,1,3,0,0,0,0,A
93,16,0,3,2,7.099902316278836,16,1,3,0,1,0,0,D
94,16,1,0,1,6.414243299685878,4,0,1,1,1,0,0,C
95,16,1,2,3,19.278320241463767,29,0,3,0,0,0,1,E
96,16,1,1,1,12.831593624867883,29,0,4,0,0,1,0,E
97,18,0,0,2,0.4686591073477641,5,0,2,0,1,0,0,C
98,16,0,0,3,8.603518168886264,25,0,2,1,0,1,1,E
99,15,0,0,1,17.500173994879404,24,0,2,0,0,0,0,E
100,17,1,2,1,6.029123728213359,23,1,1,1,1,0,1,E
101,16,1,0,3,1.8911268954877647,6,0,3,1,0,1,1,C
102,16,0,1,1,15.167695431798355,27,0,3,1,1,0,0,E
103,18,1,0,2,12.120276638721624,20,1,2,0,1,0,0,E
104,16,1,1,0,11.406250156530078,29,0,3,1,0,0,0,E
105,16,1,2,2,1.0715311921481585,14,0,3,0,1,1,1,D
106,16,0,3,1,2.8099801959103465,18,0,0,1,0,0,1,E
107,18,1,0,0,12.450987924262275,15,0,1,0,1,0,0,E
108,16,1,2,2,4.156476829176716,24,1,3,1,1,0,0,E
109,17,0,2,1,10.081401594968488,12,1,4,0,0,0,0,C
110,18,0,1,1,10.89763372058787,4,1,3,0,0,0,0,B
111,17,1,3,0,5.670143805418788,2,1,4,0,0,1,0,A
112,18,1,0,1,18.968503110829857,2,0,2,0,0,0,0,B
113,16,0,0,1,16.8492821367115,18,1,1,0,1,1,0,E
114,17,0,2,0,14.44747015265597,13,1,2,0,0,0,0,D
115,18,1,0,3,1.5598773281881817,15,0,0,0,0,0,1,E
116,15,1,2,0,2.122600386180389,21,0,3,1,0,1,0,E
117,16,1,2,2,9.855626917299114,16,0,4,0,0,0,0,E
118,18,1,0,1,3.214266983819713,26,0,3,0,1,0,0,E
119,15,0,2,1,19.56530927058948,3,0,2,1,0,1,1,A
120,18,1,0,3,3.170404680548189,12,1,1,1,1,0,0,D
121,15,1,1,1,9.74935670927948,7,1,1,0,1,1,0,C
122,16,0,1,4,7.282421136830108,18,0,2,0,0,0,0,E
123,17,1,3,1,12.78772842908196,4,0,3,0,0,0,0,B
124,15,0,0,2,2.5807281777884983,1,1,2,1,0,1,0,B
125,18,1,0,2,8.606328560847817,14,0,4,1,0,0,0,C
126,16,1,1,3,5.494100656142873,1,0,3,1,0,0,0,A
127,15,0,2,2,17.75503049343376,10,1,1,0,1,0,0,C
128,18,0,1,2,0.8117142426939017,12,1,1,1,1,0,0,D
129,18,1,0,1,18.274549880129182,22,1,3,0,0,0,0,E
130,18,1,0,1,16.65988277106001,9,0,1,0,0,0,0,D
131,15,1,0,3,5.951414328816309,2,0,3,0,0,0,0,B
132,15,0,2,1,15.785813093542094,4,1,2,0,1,0,0,A
133,15,1,0,1,0.6242712067749512,2,0,1,1,0,0,0,D
134,17,0,0,2,19.33731100586787,5,1,2,1,0,0,0,B
135,15,0,3,1,10.531898851795788,12,0,2,1,0,0,0,D
136,15,1,0,4,6.065620521308905,9,0,3,0,1,0,0,D
137,15,0,3,2,7.251664251893541,18,0,0,1,0,1,1,E
138,17,1,1,2,1.3281070692099473,7,0,3,1,0,0,0,C
139,15,1,2,3,19.786990280840783,17,1,3,0,0,0,0,D
140,18,1,0,0,0.7858389030138491,2,0,3,1,0,0,0,B
141,15,1,0,1,13.09814246295718,23,1,0,1,1,0,0,E
142,18,1,2,2,8.854718554129166,23,1,3,0,0,0,0,E
143,18,0,2,1,18.978324363774306,16,0,2,1,0,1,0,D
144,18,0,2,2,4.919994806135904,7,1,2,1,1,0,0,D
145,17,1,0,3,10.641736478760226,9,0,3,1,0,0,0,C
146,17,1,2,2,9.64712417165506,1,1,2,1,0,0,1,A
147,17,0,2,1,14.057328881002029,11,0,3,0,1,0,0,D
148,15,0,1,4,1.3602046390484102,22,0,1,1,1,0,1,E
149,18,0,2,2,3.875782600467097,5,0,3,1,0,0,0,C
150,17,0,2,2,4.291296401856997,1,0,1,0,1,1,0,C
151,17,1,1,1,14.763015096833794,20,1,3,0,1,0,0,E
152,15,1,0,3,3.7827739265348015,22,0,4,1,0,0,1,E
153,17,0,0,2,11.469835277819534,23,0,2,0,0,0,0,E
154,15,1,0,2,4.304876410019074,2,0,2,1,0,0,0,B
155,16,0,0,3,17.232499001679567,16,1,3,1,1,0,0,C
156,17,1,0,1,18.84370908979277,28,0,0,0,1,1,1,E
157,16,0,0,2,10.369859498844807,6,0,2,0,0,0,0,C
158,15,1,0,3,7.046177684183565,28,0,2,0,0,0,0,E
159,18,0,0,1,4.681155500349982,20,0,3,0,0,0,1,E
160,17,0,2,2,0.9956200304608752,4,1,3,1,0,0,1,B
161,15,1,3,3,5.370001523949908,22,1,3,0,0,0,0,E
162,18,0,0,2,13.084715598906358,0,1,3,0,0,1,1,A
163,18,1,3,2,10.672338626184215,7,0,3,1,0,0,0,C
164,16,1,1,3,18.880825565618547,11,1,2,1,0,0,0,D
165,15,0,0,3,7.925545249834012,13,0,2,0,1,0,0,E
166,18,1,0,1,13.87726684656789,15,1,2,1,1,0,0,C
167,17,1,1,0,9.786454949502428,9,0,4,0,1,0,0,D
168,17,1,2,2,10.251524318484233,14,0,3,1,0,0,0,D
169,16,1,2,2,5.35548629208235,20,0,2,0,1,0,0,E
170,18,1,0,2,9.099015536839994,23,0,3,0,1,0,0,E
171,15,0,0,2,9.415699940254145,25,0,2,1,0,0,1,E
172,17,1,0,1,14.132850434978678,14,1,3,0,0,0,0,D
173,18,1,0,2,18.81279998372228,9,0,2,0,1,0,0,C
174,18,1,0,1,6.586425549650086,20,1,1,1,0,0,0,E
